	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
2153	328	B00002232Z	A3F4G1G2RLUNZB	Tools & Home Improvement	4	I ended up having to put a self-tapping screw in it, which I then have to undo before emptying the bag.	1.0	Workaround	no	both		20
2154	328	B00002232Z	A3F4G1G2RLUNZB	Tools & Home Improvement	6	Second, the bigger problem is that the random-orbit mechanism appears to have failed after only about four hours of use.	1.0	Warning	yes	before		19
2224	337	B00002238H	A3DJZ96BIN2JH	Tools & Home Improvement	6	One safety flaw in the Base: it doesnt appear that the mounting hole patterns in the Base & Jointer were designed to match up.	1.0	Warning	yes	before		23
2226	337	B00002238H	A3DJZ96BIN2JH	Tools & Home Improvement	8	The top-heavy Jointer should be bolted to the Mobile Base at all 4 corners because otherwise, the Jointer could tip over if you hit a bump moving it around or in the event of a mild earthquake.	1.0	Warning	yes	before		35
2242	341	B0000223B4	A33VN1772RI44Z	Tools & Home Improvement	3	First, I like the ease of assembly--just follow the easy to read directions, and ten minutes later youre ready to go.	1.0	First time use	yes	after		22
2247	341	B0000223B4	A33VN1772RI44Z	Tools & Home Improvement	8	So, Id sharpen the chisels (using a diamond cone purchased from Rockler) again and again.	1.0	Complementary product	yes	before		15
2252	341	B0000223B4	A33VN1772RI44Z	Tools & Home Improvement	13	Perhaps as time passes, I will upgrade the chisels.	1.0	Usage	yes	both		9
2377	355	B0000223GL	A19D2SBM4FLBT7	Tools & Home Improvement	11	After fiddling with the motor and base a while, I found that a small amount of lubrication between the motor and base works wonders - the motor becomes easy to put in and take out.	1.0	Workaround	yes	after		34
2432	360	B0000223HF	AIFU7WJI65OJ9	Tools & Home Improvement	6	Im sure it will bore concrete but youre better off with a hammer drill for that.	1.0	Usage	yes	both		16
2596	369	B0000223IT	A33QFZUZ8YHYX	Tools & Home Improvement	10	One point I must make, however; I used a genaric brand hook and loop type sanding pads.	1.0	Usage	no	after		17
2681	382	B0000223N9	A19D2SBM4FLBT7	Tools & Home Improvement	6	The only negative is the blade that ships with the riser block - its not very good.	1.0	Warning	yes	before		16
2682	382	B0000223N9	A19D2SBM4FLBT7	Tools & Home Improvement	7	Buy yourself a selection of Timber Wolf blades to use for resawing.	1.0	Complementary product	yes	both		12
2694	383	B0000223NA	A2E7JL6JDYPW06	Tools & Home Improvement	10	If you are a full time professional woodworker you are probably going to want something more robust, if you can afford it.	1.0	Usage	yes	before		22
2752	390	B0000223OK	A2ZMTRNG7Z30M8	Tools & Home Improvement	4	This motor is maybe more annoying than a plastic mower.	1.0	Warning	yes	before		10
2827	398	B0000223R2	A2599YTN2YMDDT	Tools & Home Improvement	4	My only beef is that the wood handle comes prefinished so that you cannot glue the end caps on unless you use gorilla glue or something similar.	1.0	Workaround	yes	after		28
2829	399	B0000223R3	A33P9AWYR79336	Tools & Home Improvement	2	Wooden handle terrible never stays together.	1.0	Warning	yes	before		6
2843	403	B0000223SK	A3B63RR2GS9DEO	Tools & Home Improvement	7	For precise sanding, stick a piece of this paper at the very edge/corner/whatever of a sanding block, and you use the straight edge to get into tight corners, etc.3.	1.0	Usage	yes	after		27
2845	403	B0000223SK	A3B63RR2GS9DEO	Tools & Home Improvement	9	Stick a piece of the paper to a piece of wood and clamp that wood to your workbench.	1.0	Usage	no	after		18
2847	403	B0000223SK	A3B63RR2GS9DEO	Tools & Home Improvement	11	Hint: cut a piece or two of the paper and adhere to the top side of the piece you are sanding.	1.0	Usage	no	after		21
2870	406	B0000223T6	A14JBDSWKPKTZA	Tools & Home Improvement	11	I simply attach a 2 1/2 vac hose to the dust port on my Bosch, which is way smaller than that, so a lot of air escapes.	1.0	Workaround	no	after		25
2872	406	B0000223T6	A14JBDSWKPKTZA	Tools & Home Improvement	13	It is still recommended to wear a mask because the shop vacs only capture to a micron or so.	1.0	Usage	yes	after		19
2875	406	B0000223T6	A14JBDSWKPKTZA	Tools & Home Improvement	16	A good respirator, not a paper mask is advisable.	1.0	Usage	no	after		9
2887	408	B0000223T8	A3U7OAGFZNEYDN	Tools & Home Improvement	1	It seems as though these discs dont last as long as the editorial sais.	1.0	Warning	no	before		14
2953	415	B0000223UD	A3MR51MDYU0KXJ	Tools & Home Improvement	8	It leaves an ugly white coating on anything you spray it on.	1.0	Warning	yes	before		12
2963	417	B0000223US	A12UW3F02MH7LP	Tools & Home Improvement	4	Dries yellow, so you need to be sure to clean up any runs or overages.	1.0	Usage	yes	after		15
2967	418	B0000223UV	A1GAYOHBVS7NSH	Tools & Home Improvement	4	READ THE INSTRUCTIONS CAREFULLY.	1.0	Warning	yes	after		4
3032	424	B0000223VN	A3DJZ96BIN2JH	Tools & Home Improvement	3	It is well shaped for the purpose, and I use mine occaisionally, but I caution that it is plastic and can suddenly slip sideways on wood.	1.0	Warning	yes	after		26
3060	428	B0000223VT	A1J0GL9HCA7ELW	Tools & Home Improvement	3	The only thing you have to watch is that it does diminish your depth of cut on the table saw.	1.0	Warning	yes	after		20
3061	428	B0000223VT	A1J0GL9HCA7ELW	Tools & Home Improvement	4	"I still  have over 2"" of cut which is satisfactory for most of my applications."	1.0	Workaround	no	after		14
3074	431	B0000223VZ	A1J0GL9HCA7ELW	Tools & Home Improvement	5	If it is off just a little, slip in one or more of the supplied  plastic shims to acheive perfection!	1.0	Usage	yes	after		20
3163	441	B0000223YJ	A3MR51MDYU0KXJ	Tools & Home Improvement	6	Use a heat gun or a hair drier to slowely heat up the hose and then position it however you need to.	1.0	Workaround	no	both		22
3171	444	B0000223YV	A1J0GL9HCA7ELW	Tools & Home Improvement	3	You can also use a nut driver or socket wrench to get them REALLY tight, tighter than just using a screwdriver.	1.0	Workaround	yes	after		21
3172	444	B0000223YV	A1J0GL9HCA7ELW	Tools & Home Improvement	4	If you are using Woodstock International hose, use these clamps.	1.0	Other	yes	both		10
3189	447	B00002240J	A3P09N99T4VIXZ	Tools & Home Improvement	9	The clamp barely works for 1 1/2  material.	1.0	Warning	no	before		6
3199	448	B00002240N	A14JBDSWKPKTZA	Tools & Home Improvement	6	Consequently you do not need to pre-drill unless you are using them close to an edge of a soft wood.	1.0	Usage	no	after		19
3214	448	B00002240N	A14JBDSWKPKTZA	Tools & Home Improvement	21	"If you are thinking about buying the screws, I recommend you getting the coarse and fine screws in the 1 1/4"" format, since they are useful for joining 3/4"" wood."	1.0	Usage	no	after		27
3300	462	B00002243B	A1WXJ1I42UOQ2V	Tools & Home Improvement	2	After receiving I discovered it makes an excellent camera bag, if you are a camera junkie like me.	1.0	Alternative use	yes	both		18
3323	464	B00002243E	A3U2OPADT5XVXT	Tools & Home Improvement	10	If you are like me and you just need a handy tool belt for your projects, trust me, this is the one.	1.0	Population segment	yes	before		22
3328	466	B00002243Q	A19RW25Q6206I3	Tools & Home Improvement	1	Not for use with small drills or impact guns... not for use with drill bits (will stab your self guys think about it... lol) but good for general use drill like say 18v dewalt or such... just remember no drill bits... darn that smarts... lol	1.0	Usage	yes	after		44
3368	471	B00002244S	A1J0GL9HCA7ELW	Tools & Home Improvement	6	Because of its size, this clamp does have some limitations; it cannot hold a great deal of weight or generate great amounts of pressure.	1.0	Warning	yes	before		25
3389	474	B000022458	A1ILJCF068QU27	Tools & Home Improvement	5	There is no lock mechanism to keep the sliding head in place and a tap in the wrong direction will set the head free until it is tightened down.	1.0	Warning	yes	both		29
3482	488	B0000224AY	A246U22NIXMPHJ	Tools & Home Improvement	8	You can use these bits for drilling wood and plastic, as well as metal.	1.0	Usage	yes	both		14
3548	493	B0000224B8	AJDF3AC49T65B	Tools & Home Improvement	4	I keep a little pressure on the heads for storage.	1.0	Usage	no	after		10
3554	494	B0000224B9	A3L4JR2VB2RNLF	Tools & Home Improvement	5	One more note -- buy the body blocks.	1.0	Usage	no	after		7
3617	499	B0000224BQ	AAGERMD1WPZ67	Tools & Home Improvement	4	Be sure to immediately remove any glue drippings that finds its way to the bar or the next time you go to move the head it will hang up.	1.0	Maintenance	yes	both		29
3626	500	B0000224C9	A1J0GL9HCA7ELW	Tools & Home Improvement	4	I do use wood strips to pad the jaws, otherwise they can damage  wood under pressure.	1.0	Usage	yes	after		16
3630	500	B0000224C9	A1J0GL9HCA7ELW	Tools & Home Improvement	8	"I bought a dozen when I found them on sale that way and mounted them on three different lengths of pipe: 28"", 40"" and 52""."	1.0	Usage	no	after		22
3632	500	B0000224C9	A1J0GL9HCA7ELW	Tools & Home Improvement	10	"I also threaded both  ends of the pipe, so with 3/4"" pipe connectors, the possibilities are  expanded."	1.0	Usage	yes	after		16
3633	500	B0000224C9	A1J0GL9HCA7ELW	Tools & Home Improvement	11	I do use wood strips to pad the jaws, otherwise they can damage  wood under pressure.	1.0	Usage	yes	after		16
3635	500	B0000224C9	A1J0GL9HCA7ELW	Tools & Home Improvement	13	With a simple 2x4 rack, I can  glue up wide panels with them.	1.0	Usage	no	after		12
3710	512	B0000224R9	A3GJ25QG91UI9Y	Tools & Home Improvement	2	This model is larger, has more features and better work surface - can actually be used as a workbench when all 3 panels are in place.	1.0	Alternative use	yes	before		24
3715	513	B0000224RN	A3HSLGGLE9M30	Tools & Home Improvement	2	Dont bother trying to get in touch with them or look for them locally or even bother with their website as theyre all horrible options.	1.0	Other	yes	before		25
3746	517	B0000224TY	A1J0GL9HCA7ELW	Tools & Home Improvement	4	The one caution: when using the cats paw end, wear a leather glove to protect the palm of your hand from the sharp corners of the wide blade when yanking on it.	1.0	Warning	yes	after		32
3748	517	B0000224TY	A1J0GL9HCA7ELW	Tools & Home Improvement	6	The heel of the cats paw also can be used as a tack hammer.	1.0	Alternative use	yes	both		14
3755	517	B0000224TY	A1J0GL9HCA7ELW	Tools & Home Improvement	13	The one caution: when using the cats paw end, wear a leather glove to protect the palm of your hand from the sharp corners of the wide blade when yanking on it.	1.0	Warning	yes	after		32
3767	519	B0000224UX	AROQYA6UJO5UH	Tools & Home Improvement	2	it is longer than a normal one and this gives you more leverage which is very nice.	1.0	Size	yes	before		17
3769	519	B0000224UX	AROQYA6UJO5UH	Tools & Home Improvement	4	if your a framer or carpenter this will be a new favorite tool.	1.0	Population segment	yes	both		13
3796	525	B0000225E1	A3B7VQBL6KA86F	Tools & Home Improvement	3	It was very aggravating because I cannot coil this hose up for storage or to hang it on the wall - regardless if its under air pressure or not.	1.0	Warning	no	before		29
3837	531	B0000225P8	A2185N1MYZC1QX	Tools & Home Improvement	4	Avoid if you are a carpenter you will be pulling your tip out of every screw.	1.0	Warning	yes	before		16
3851	535	B000022621	A3GMX1YLNMQX1L	Tools & Home Improvement	5	The brackets are about an inch closer together than the holes, which means one bracket slides on completely while the other is barely over the hole.	1.0	Warning	yes	both		26
3863	535	B000022621	A3GMX1YLNMQX1L	Tools & Home Improvement	17	The way you use the micro-adjuster is you lock the fence down with the small lever, then release the big lever.	1.0	Usage	no	after		20
3865	535	B000022621	A3GMX1YLNMQX1L	Tools & Home Improvement	19	When you have dialed in the correct distance, you then lock the big lever down and unlock the small lever.	1.0	Usage	yes	after		20
3866	535	B000022621	A3GMX1YLNMQX1L	Tools & Home Improvement	20	The micro-adjuster locking mechanism on mine slips very easily, however.	1.0	Warning	yes	after		9
3867	535	B000022621	A3GMX1YLNMQX1L	Tools & Home Improvement	21	When I lock the small lever down and start dialing, sometimes the fence stays put and the micro-adjuster moves.	1.0	Warning	yes	after		18
3868	535	B000022621	A3GMX1YLNMQX1L	Tools & Home Improvement	22	If I push the fence from side to side while the small lever is locked down, it moves with little effort.	1.0	Workaround	no	after		21
3881	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	8	Its not that critical to get it exactly 3.5 inches from the top of the table, since the bolt holes are slotted in the main bracket.	1.0	Usage	no	after		25
3883	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	10	You will need to remove the stock outfeed table, but not the bottom bracket as it doesnt interfere with the HTC bracket.3.	1.0	Usage	yes	after		21
3884	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	11	Take the advise on deburring the holes in the instructions seriously.	1.0	Usage	no	after		11
3886	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	13	When installing the far bolt to secure the bottom of the main bracket to the cabinet, I found it useful to tape the bolt onto the bracket on the outside and then ease the nut on from the inside.5.	1.0	Usage	yes	after		38
3887	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	14	Remove the insert and the blade from the saw before attaching the main bracket.6.	1.0	Usage	yes	after		13
3888	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	15	Be sure to examine all of the hardware before starting, if you are missing some of the hardware it isnt worth starting the project until you have it all.7.	1.0	Usage	yes	after		28
3889	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	16	If you also have the overarm guard from HTC on your 22124, be prepared to find out that it interferes with the door to the cabinet.	1.0	Usage	no	after		25
3891	536	B00002263L	A3FEV12ZM0ASYZ	Tools & Home Improvement	18	Also, if you have the overarm guard installed, you will have to modify the instructions on installing the supporting rod.	1.0	Usage	yes	after		20
3947	537	B00002269E	A14JBDSWKPKTZA	Tools & Home Improvement	49	The perfectly flat ride, will not dig, and gives you the maximum work surface at one time.	1.0	Usage	no	after		17
3966	538	B00002JXFI	A510GFZQONEXJ	Baby	6	It is hard, and pointy.	1.0	Warning	no	before		5
3975	539	B00002N5FN	A3OQ8JXIQRNNFU	Tools & Home Improvement	6	12 gauge wire used without issue	1.0	Complementary product	yes	both		5
3981	542	B00002N5O6	A2WD3G8KAUD4YZ	Tools & Home Improvement	1	I dont do much roof framing, but for cutting studs square or on the 45, these are great for running your circular saw base against to make a straight cut.	1.0	Usage	yes	both		29
4003	550	B00002N6IZ	A3P5LU2F4D5RZR	Tools & Home Improvement	2	Would recommend you use a large paint roller pan though.	1.0	Warning	yes	both		10
4009	552	B00002N6MI	A2XRPG1CDV5D6U	Tools & Home Improvement	3	Important to get proper orientation in the tank.	1.0	First time use	yes	both		8
4032	557	B00002N7S0	A2DUGL0KGPRPT9	Tools & Home Improvement	4	Changing tips is a bit of a hassel, and somebody at Weller needs to revisit that engineering, but its overall a very nice tool for what it does.	1.0	Warning	yes	before		28
4048	562	B00002N8YQ	A19RW25Q6206I3	Tools & Home Improvement	2	Some tips for the average person .... take a break from painting every 20-30 minutes and clean out your brush to prevent buildup in the body use a little dish soap as your last wash it will keep the brush soft and allow it to stay soft by allowing paint to wash off over and over again... always allow your brushes to dry dont keep them wet or in a solution all the time... last but not least a brush comb or a fingernail brush to scrub out your brushes when washing helps also.... enjoy	1.0	Maintenance	yes	both		93
4052	563	B00002N9ET	A19EN5NKJ9B9ZO	Tools & Home Improvement	4	In the eight months of casual to daily use Ive put it through, Ive had to change the battery three times, but the bulb is still like new.	1.0	Usage	yes	both		28
4096	570	B00002ND64	A1ZJ3OO432FQM	Tools & Home Improvement	2	Always check the expiration dates to make sure that they are charged correctly if you need them.	1.0	Maintenance	yes	after		17
4124	574	B00002X20W	A1EH2S92FHWZRP	Tools & Home Improvement	3	I also use this for pruning shrubs around the yard.	1.0	Alternative use	yes	after		10
4128	575	B00002X232	A3QAY6M3VR147X	Tools & Home Improvement	3	I use this miter box with a Stanley Sharptooth rip saw instead of the cross-cut saw and it work great.	1.0	Complementary product	yes	both		19
4196	588	B0000302XT	A34SNV6K27YBRW	Tools & Home Improvement	9	)Also, a tip I found useful: I would recommend that instead of having to fish in the small plastic bag of contours whenever you want to change contours, cut a piece of 1 inch by 1/2 inch wood strip to fit into the Dremel bag, and drive ten - 2 inch wire brads into it, and slip the 10 contours onto the brads.	1.0	Usage	no	after		58
4200	589	B0000302Y1	A2N07TZLFCI0O9	Tools & Home Improvement	2	If you want a tool for a project, or something where you will be using th tool a lot, get a corded dremel.	1.0	Warning	yes	before		23
4256	595	B00003CYPK	A22Z554ZQ8NFPC	Sports & Outdoors	7	The raquets are plastic and it would be pretty easy to break them if you dont take care of them.	1.0	Warning	yes	before		20
4265	598	B00003TL3H	AQRM319K706HZ	Baby	1	My daughter loves this but like others have said it doesnt fit on the Graco Quattro Travel System.	1.0	Warning	yes	before		18
4288	602	B00003XAKR	A2F8EOU79DK8DG	Baby	5	The only reason I took off one star is because its a little stiff and he was resistant to having it on his bed at first.	1.0	Warning	yes	before		26
4305	605	B000046S3W	A2O30DLTXMOZN5	Baby	2	Cons - harder for an adult to quickly put together and take apart, doesnt keep little extremely curious fingers out of the top hole area (though they cant reach the part that would shock them), and doesnt stop our son from unplugging the cord since there is space for the cord to be pulled upward so that the plug comes out of the socket.	1.0	Warning	yes	before		63
4324	609	B0000488W2	A3JEFPEUXUS0I	Baby	6	In less than 1 hour I was able to unpack, read instructions, plan, get my tools, and have it done in 4 doors.	1.0	First time use	yes	after		21
4325	609	B0000488W2	A3JEFPEUXUS0I	Baby	7	I think it wont work with hollow doors or maybe doors that are too thick but mine were pretty standard.	1.0	Warning	yes	before		20
4368	617	B00004OCHZ	A3F4G1G2RLUNZB	Tools & Home Improvement	2	My biggest complaint is that I just changed the knives for the first time and now the thickness is off a little from one side to the other.	1.0	Warning	yes	before		28
4384	620	B00004R8O3	A1AXPGFCOQEXA1	Tools & Home Improvement	1	The battery worked well when i first got it but after a year it was pooped out and would not take much of a charge.	1.0	Warning	yes	before		25
4400	625	B00004R9LG	A3FVE3QJQJYASB	Tools & Home Improvement	2	Plastic is flexible and does not provide support for small pieces.	1.0	Warning	yes	before		11
4445	634	B00004RH2P	A3ETMT9VBMKG30	Tools & Home Improvement	1	Sturdy and works but I failed to notice that they dont have any way to lock into a spring chuck on a bit driver.	1.0	Warning	yes	before		24
4448	635	B00004RHAT	A3T325VMAVCMKY	Tools & Home Improvement	1	The instructions dont tell you that when attaching to the Dewalt 41/2 grinder, you actually have to remove the washer assembly that you normally dont remove when using a regular grinding wheel.	1.0	Usage	no	after		31
4452	636	B00004RHBF	A93KNZVY87PCR	Tools & Home Improvement	1	This is a great deal for those that need masonry bits handy, but dont plan on using them all the time.	1.0	Population segment	yes	before		21
